,node,sub,r,label
0,1,0,0.014476312,pre
1,1,0,-0.013929231,post
2,1,1,0.013921169,pre
3,1,1,0.025535478,post
4,1,2,0.021958429,pre
5,1,2,-0.004497158,post
6,1,3,-0.019075652,pre
7,1,3,0.049968408,post
8,1,4,-0.000771718,pre
9,1,4,0.010806212,post
10,1,5,0.017973463,pre
11,1,5,-0.018245665,post
12,1,6,0.010378769,pre
13,1,6,0.010889156,post
14,1,7,0.01809719,pre
15,1,7,0.016700121,post
16,1,8,0.008563401,pre
17,1,8,0.025926478,post
18,1,9,0.013330199,pre
19,1,9,0.006636994,post
20,1,10,0.010221912,pre
21,1,10,0.028661736,post
22,1,11,0.009743916,pre
23,1,11,-0.007252687,post
24,1,12,0.007381566,pre
25,1,12,0.036027767,post
26,1,13,0.021070152,pre
27,1,13,0.050490585,post
28,1,14,0.010397618,pre
29,1,14,0.011403571,post
30,1,15,-0.002169675,pre
31,1,15,0.003310203,post
32,1,16,-0.004921459,pre
33,1,16,-4.78E-05,post
34,1,17,-0.003448991,pre
35,1,17,0.019196301,post
36,1,18,0.024230673,pre
37,1,18,0.018521327,post
38,1,19,0.002787453,pre
39,1,19,0.015988925,post
40,1,20,-0.006258941,pre
41,1,20,0.011386058,post
42,1,21,0.023972878,pre
43,1,21,0.003159397,post
44,1,22,0.004795459,pre
45,1,22,-0.005876655,post
46,1,23,-0.013888961,pre
47,1,23,0.019661788,post
48,1,24,0.006859432,pre
49,1,24,0.009135635,post
50,1,25,0.021378449,pre
51,1,25,0.008993811,post
52,1,26,0.021927206,pre
53,1,26,0.021461335,post
54,1,27,0.001409792,pre
55,1,27,0.024702042,post
56,1,28,0.031105405,pre
57,1,28,0.03375389,post
58,1,29,0.024845724,pre
59,1,29,0.031197568,post
60,1,30,0.033425397,pre
61,1,30,0.021656769,post
62,1,31,-0.005095562,pre
63,1,31,0.017408625,post
64,1,32,0.001805404,pre
65,1,32,0.018925513,post
66,1,33,0.021306423,pre
67,1,33,-0.007781684,post
68,1,34,0.006340248,pre
69,1,34,0.010993128,post
70,1,35,0.014809069,pre
71,1,35,0.014288023,post
72,2,0,0.017736241,pre
73,2,0,0.022603445,post
74,2,1,0.046044541,pre
75,2,1,0.045765614,post
76,2,2,0.072537867,pre
77,2,2,-0.001249411,post
78,2,3,-0.00015673,pre
79,2,3,0.172567273,post
80,2,4,0.045399294,pre
81,2,4,-0.002949415,post
82,2,5,0.02240356,pre
83,2,5,0.00425239,post
84,2,6,0.021934594,pre
85,2,6,0.007409137,post
86,2,7,0.016597233,pre
87,2,7,-0.016885245,post
88,2,8,0.027739655,pre
89,2,8,0.062256316,post
90,2,9,0.039309802,pre
91,2,9,0.02539051,post
92,2,10,-0.002284748,pre
93,2,10,0.14939373,post
94,2,11,0.03591138,pre
95,2,11,0.071989744,post
96,2,12,0.004056794,pre
97,2,12,0.060546647,post
98,2,13,0.010056638,pre
99,2,13,0.101699743,post
100,2,14,0.063767725,pre
101,2,14,0.081196294,post
102,2,15,0.029923739,pre
103,2,15,-0.002609968,post
104,2,16,0.025068037,pre
105,2,16,0.040208252,post
106,2,17,0.051952328,pre
107,2,17,0.100586357,post
108,2,18,0.015769132,pre
109,2,18,0.022768435,post
110,2,19,0.041980435,pre
111,2,19,0.083607595,post
112,2,20,0.021767525,pre
113,2,20,-0.049924179,post
114,2,21,-0.021081912,pre
115,2,21,0.116441666,post
116,2,22,0.036054238,pre
117,2,22,-0.033379255,post
118,2,23,-0.013873182,pre
119,2,23,0.036244203,post
120,2,24,0.053370051,pre
121,2,24,-0.034828579,post
122,2,25,0.031601847,pre
123,2,25,0.00629243,post
124,2,26,0.032554479,pre
125,2,26,0.000591896,post
126,2,27,0.026768086,pre
127,2,27,0.0720538,post
128,2,28,0.102155489,pre
129,2,28,0.085390579,post
130,2,29,0.026216494,pre
131,2,29,0.067574038,post
132,2,30,0.11148871,pre
133,2,30,0.098133609,post
134,2,31,0.037620891,pre
135,2,31,0.061888889,post
136,2,32,-0.006498081,pre
137,2,32,0.028211775,post
138,2,33,0.013934043,pre
139,2,33,0.002000426,post
140,2,34,-0.011728283,pre
141,2,34,0.033023258,post
142,2,35,0.048937806,pre
143,2,35,0.060118964,post
144,3,0,0.028011778,pre
145,3,0,8.00E-05,post
146,3,1,0.027782012,pre
147,3,1,0.022536535,post
148,3,2,0.0160095,pre
149,3,2,0.012214097,post
150,3,3,-0.005574125,pre
151,3,3,0.0954252,post
152,3,4,0.022759902,pre
153,3,4,0.009253714,post
154,3,5,0.003208031,pre
155,3,5,0.035867399,post
156,3,6,0.005289664,pre
157,3,6,0.01801086,post
158,3,7,0.001309803,pre
159,3,7,0.000636157,post
160,3,8,0.035295631,pre
161,3,8,0.0374572,post
162,3,9,0.029848202,pre
163,3,9,0.02076917,post
164,3,10,0.010278936,pre
165,3,10,0.101561257,post
166,3,11,0.017333365,pre
167,3,11,-0.007684953,post
168,3,12,0.003682278,pre
169,3,12,0.035013357,post
170,3,13,-0.009941672,pre
171,3,13,0.055093342,post
172,3,14,0.039859787,pre
173,3,14,0.056251093,post
174,3,15,-0.003603815,pre
175,3,15,0.003285962,post
176,3,16,0.015276188,pre
177,3,16,0.022279707,post
178,3,17,0.008440189,pre
179,3,17,0.030785828,post
180,3,18,-0.000496332,pre
181,3,18,0.030744536,post
182,3,19,0.036244147,pre
183,3,19,0.055291226,post
184,3,20,0.013359655,pre
185,3,20,-0.002141334,post
186,3,21,0.01072407,pre
187,3,21,0.072823619,post
188,3,22,0.010414269,pre
189,3,22,0.009718309,post
190,3,23,0.011717389,pre
191,3,23,0.046765117,post
192,3,24,0.016066318,pre
193,3,24,0.012776877,post
194,3,25,0.007185377,pre
195,3,25,-0.010135409,post
196,3,26,0.023982724,pre
197,3,26,0.028149788,post
198,3,27,0.02131776,pre
199,3,27,0.030938586,post
200,3,28,0.045194913,pre
201,3,28,0.013823449,post
202,3,29,0.014107851,pre
203,3,29,0.041007048,post
204,3,30,0.060043375,pre
205,3,30,0.051533422,post
206,3,31,-0.006397484,pre
207,3,31,0.045947554,post
208,3,32,-0.005230216,pre
209,3,32,0.031284012,post
210,3,33,0.005858199,pre
211,3,33,0.030540409,post
212,3,34,0.022120014,pre
213,3,34,0.02161954,post
214,3,35,0.016748543,pre
