,node,L2_more_than_0_t,L2_more_than_0_p,L2_more_than_0_q,L1_slope_pos_estimate,L1_slope_pos_p,L1_slope_pos_q,L2_more_than_L1_t,L2_more_than_L1_p,L2_more_than_L1_q,L2_slope_pos_estimate,L2_slope_pos_p,L2_slope_pos_q,L1_slope_more_L2_estimate,L1_slope_more_L2_p,L1_slope_more_L2_q,L1_steve_slope_estimate,L1_steve_slope_p,L1_steve_slope_q,L2_steve_slope_estimate,L2_steve_slope_p,L2_steve_slope_q
0,1,481,0.0095902961038518,0.16053546109469613,0.0049623111672862,3.7050446010928e-11,3.4355868119224144e-10,445,0.0398678040946834,0.538235375577642,-0.000541279422344,0.414987173832195,0.7054781955147316,0.0027517952948151,4.01358943648294e-08,2.0469306126062993e-06,-0.0033046935999346,0.0009438925970882,0.008850688995191617,-0.0005138535325521,0.576445038395219,0.8671420800140424
1,2,499,0.0040821097354637,0.16053546109469613,0.0069228574917042,2.18990758906916e-07,6.382016402430124e-07,330,0.521654338561348,0.6735283864969304,0.0023587726946879,0.0452790793042512,0.20080287343624445,0.0022820423985081,0.0101475065252775,0.018273893536662013,-0.0027410691558991,0.12154063364101,0.20328931458138366,0.0013921446278741,0.394608491274831,0.8671420800140424
3,4,426,0.0738501180749154,0.32750921928875526,0.0055121375849015,3.42839462356673e-06,6.0330242309759765e-06,323,0.564714762047515,0.6757170195967109,0.0009728665226205,0.31859019227709,0.6196128612195045,0.0022696355311405,0.0031758137159518,0.007362113614251899,-0.0003994701677062,0.812678816401568,0.8458493803363258,0.001718516300743,0.184363436761298,0.7299542280748681
9,10,462,0.0212628066947218,0.1807338569051353,0.002645628150743,0.0055543649636242,0.006027076875422005,377,0.249455203971593,0.5800669573413271,-0.0009233463051144,0.32195570239837,0.6196128612195045,0.0017844872279287,0.0073587248198878,0.014162074181670859,-0.0016515107458817,0.225098152777577,0.2982459296404922,0.0017422775853687,0.186066764019084,0.7299542280748681
10,11,324,0.558597168637789,0.856225925446779,0.0036457793438135,4.78912585834036e-06,8.14151395917861e-06,348,0.410979467342258,0.616469201013387,0.0001358997364912,0.853064878772442,0.9432805961913973,0.0017549398036611,0.0012094174884346,0.003602141274023733,-0.0015052303762922,0.160298530488223,0.2515453863045961,0.0005331251622304,0.60347963033653,0.8671420800140424
11,12,444,0.0412735025893198,0.2631185790069137,0.0032064410068221,0.0009872483711643,0.0011574636075719381,442,0.0442020713817328,0.538235375577642,-0.001086940318189,0.259861842819556,0.5548046623747952,0.0021466906625055,0.0017374044432663,0.004543980851619555,-0.0019061373789964,0.163906207978985,0.25330959414934046,0.0014492174612453,0.266021964905508,0.83036660395404
12,13,259,0.877459293566062,0.9165782744031661,0.0057555683666077,1.502303264277e-07,4.820387923414817e-07,378,0.244528081486351,0.5800669573413271,-0.0004531024820354,0.679024414242614,0.889895867267568,0.0031043354243215,6.07017361059682e-05,0.000513873071743645,-0.0013506101658754,0.369257329703476,0.44838390035422093,0.0007868207044279,0.603598898833304,0.8671420800140424
13,14,407,0.125772706378484,0.36653760144586767,0.0040297344526288,9.57212322891798e-05,0.00012846796965126762,466,0.0181347140169237,0.538235375577642,0.0001497678351952,0.878545653315517,0.9432805961913973,0.0019399833087167,0.0066245865477145,0.012994381305132289,-0.0025729535714854,0.0516812380649068,0.1255115781576308,0.0007741922437302,0.559746226131474,0.8671420800140424
14,15,312,0.630713044345612,0.8641796008771718,0.0055102166432292,5.22809208878285e-08,1.9696426028109792e-07,451,0.0322114844166208,0.538235375577642,0.0020314010671487,0.0343844448086311,0.18413997611532235,0.0017394077880403,0.0126944652948648,0.02135624064513488,-0.0038469792719997,0.003368411404681,0.0229051975518308,0.0009291208770471,0.481607758676611,0.8671420800140424
15,16,413,0.107234700510162,0.34181060787614137,0.0063024210684823,1.01601600142972e-08,4.31806800607631e-08,288,0.760347433315474,0.7833882646280642,0.0011819288471908,0.197644819087325,0.5319376703818912,0.0025602461106457,0.0003484745727631,0.001421776256873448,-0.0036877752643536,0.0126199589085842,0.046236553613121574,0.000890969366312,0.476151363771678,0.8671420800140424
19,20,346,0.423096660160809,0.7846519879345912,0.0064097161733215,6.3509139064676e-08,2.1593107281989838e-07,394,0.173061114473967,0.5800669573413271,0.0022660118681152,0.0501882085248886,0.21329988623077656,0.0020718521526031,0.0120373923613005,0.02116920725608019,-0.0035963814593043,0.0245569791311379,0.07581176790530272,-0.0010989299253,0.487418423342872,0.8671420800140424
20,21,348,0.410979467342258,0.7762945494242651,0.0048365710287031,2.07247396923613e-06,4.065237401193948e-06,374,0.26453957927879,0.5800669573413271,0.0016131878932563,0.077635707331309,0.29329044991827846,0.0016116915677233,0.018542114590183,0.02955149512810416,-0.0053187574788503,0.0001644750525102,0.0027960758926734,-0.0001966666299072,0.878991549266464,0.9553967213259424
21,22,430,0.0653307222237345,0.32750921928875526,0.0048176513639384,1.75553893153032e-06,3.581299420321853e-06,393,0.177105315000517,0.5800669573413271,0.0004716419657536,0.631209590052143,0.8797410295972748,0.0021730046990924,0.0020086423221554,0.004997110167313435,-0.0034095183784803,0.0111820387263411,0.0440192214952738,-0.0003086704360438,0.816290896738695,0.9355243985095156
22,23,465,0.0188785119535169,0.17505529265988398,0.0042703947547269,3.1362694177756e-07,8.645931908462465e-07,424,0.0784079850272974,0.5800669573413271,0.0008667587823749,0.301236850177701,0.602473700355402,0.001701817986176,0.0039983918728682,0.008865999370272964,-0.0039823054679296,0.0003312143133202,0.004826265708380057,-0.0005943213962911,0.589855311498091,0.8671420800140424
23,24,489,0.0066439928050385,0.16053546109469613,0.0044807016750485,1.13297656561274e-05,1.750963783219689e-05,490,0.0063372317526955,0.3231988193874705,-0.0003661889110755,0.7086739025298,0.889895867267568,0.002423445293062,0.0006202329040124,0.0021915314187203588,-0.0023893116348766,0.0838247195967421,0.15943281827583114,0.0006403212182693,0.62511395038553,0.8734468895797816
24,25,319,0.589020532657742,0.8582870618727098,0.0045290909713323,1.89127461318915e-10,1.4839231580407179e-09,354,0.375164208802744,0.6074087190139664,0.0004687622159433,0.487022966978841,0.7642514251052582,0.0020301643776945,3.37536767894156e-05,0.00034428750325203914,-0.0031052166143201,0.0009544860681089,0.008850688995191617,-0.0002965106289071,0.751712636516372,0.9119432629508449
26,27,342,0.447534092847491,0.8008504819376154,0.0046985353402822,2.81419028472504e-06,5.211641184738746e-06,386,0.207017150736647,0.5800669573413271,0.000308028393685,0.745708999657769,0.889895867267568,0.0021952534732985,0.0014807111342236,0.00408196042407587,-0.0022974590677762,0.0859686765212815,0.15943281827583114,0.0007558127479925,0.563492630616449,0.8671420800140424
