,node,L2_more_than_0_t,L2_more_than_0_p,L2_more_than_0_q,L1_slope_pos_estimate,L1_slope_pos_p,L1_slope_pos_q,L2_more_than_L1_t,L2_more_than_L1_p,L2_more_than_L1_q,L2_slope_pos_estimate,L2_slope_pos_p,L2_slope_pos_q,L1_slope_more_L2_estimate,L1_slope_more_L2_p,L1_slope_more_L2_q,L1_lucy_slope_estimate,L1_lucy_slope_p,L1_lucy_slope_q,L2_lucy_slope_estimate,L2_lucy_slope_p,L2_lucy_slope_q
9,10,405,0.132409316996927,0.2143769894235961,0.0085311339898378,3.57917159987356e-10,1.1084136431063792e-08,353,0.381069868046325,0.5273954820011948,0.002813864812972,0.0363537124109097,0.38386385753809654,0.0028586345884328,0.0025917623542492,0.018882840009529882,-0.011281262362086,1.3187450336663798e-28,4.483733114465691e-27,-0.0055905064081187,6.692755969540741e-09,6.826611088931556e-07
10,11,448,0.035876996917068,0.11804689308196568,0.0043158824260107,7.87199875042353e-05,0.0001867311331495814,453,0.0299395626498153,0.3848369795538026,-0.0004595315661491,0.67045024317235,0.8795106107244993,0.0023877069960799,0.0018582052024925,0.017629961508262938,-0.0063002889946891,2.4459516300967103e-15,9.979482650794579e-15,-0.0012087793123861,0.107574199495556,0.2551760081057375
11,12,424,0.0784079850272974,0.15380027832277568,0.0052211388490245,0.0001058221127022,0.0002346490325135739,449,0.0346199133928167,0.3848369795538026,0.0008344814363594,0.536997179847725,0.8405551533270356,0.0021933287063325,0.0210432357508752,0.0447168759706098,-0.008751029942954,1.09286689412527e-18,6.55720136475162e-18,-0.002999640816437,0.00214194685129,0.016806044525506155
14,15,406,0.129062181236804,0.2143769894235961,0.0053791284743381,5.42684347337983e-05,0.00013500927665481528,420,0.0881413452152629,0.3848369795538026,0.0002772342042316,0.829430487264082,0.9195859750101778,0.0025509471350532,0.0058307158672269,0.0228876569183034,-0.0083150318541604,4.34829479486554e-17,2.1120289003632624e-16,-0.0029108988576439,0.0014782540031421,0.01256515902670785
17,18,358,0.351837975671515,0.3817816331754737,0.0052571329091605,6.46857243723452e-05,0.00015709390204712406,396,0.165146421597456,0.42071082906059437,0.0010876985367127,0.389894801447986,0.8100540367820431,0.0020847171862238,0.0219760837170848,0.044831210782852994,-0.0051315909828853,1.8572595283388e-07,2.1048941321173067e-07,7.04379481244173e-05,0.939397519817885,0.9908209078480869
20,21,370,0.285331795166712,0.3487750951841004,0.0067258180547473,4.31833280699052e-06,1.761879785252132e-05,470,0.0153981947369175,0.3848369795538026,0.0014285555770979,0.32758062077733,0.8100540367820431,0.0026486312388247,0.010246045393833,0.026797349491563233,-0.0081412938753696,8.34326894087506e-14,2.431466948483589e-13,-0.0018791940328122,0.0599895892485144,0.1854223667681354
22,23,367,0.301407340579317,0.35748312487314343,0.0056456879907426,4.08825780032243e-07,2.31667942018271e-06,346,0.423096660160809,0.5508942377273347,0.0015371236151929,0.168949992485114,0.6579388836898123,0.0020542821877748,0.0088820958089227,0.02516593812528098,-0.0080463845185952,6.6346813385048e-22,6.767374965274896e-21,-0.0009076100410466,0.272618723664604,0.4869222810780032
23,24,434,0.0575758347840747,0.13780425747509897,0.0079266787082296,1.20990853277411e-07,9.511485213279446e-07,419,0.090706239148858,0.3848369795538026,0.0014507041233654,0.335168932230223,0.8100540367820431,0.0032379872924321,0.0022071509561971,0.017629961508262938,-0.012025423110868,1.88038580637816e-27,3.8359870450114466e-26,-0.0043202264865836,0.0001040682608041,0.0013268703252522752
24,25,369,0.290645912653417,0.3487750951841004,0.0053782340777807,8.55908307927987e-08,7.936604309877697e-07,325,0.552465907152509,0.6261199033082909,0.0014515933959142,0.149009448029792,0.6579388836898123,0.0019633203409332,0.0054850332641964,0.0228876569183034,-0.0088765393303666,2.57816531282896e-32,2.6297286190855393e-30,-0.0025144278431221,0.0002717920622188,0.0030803100384797335
25,26,442,0.0442020713817328,0.13662260305136434,0.0071874811849533,6.59280650621885e-08,6.724662636343227e-07,467,0.0174153813713929,0.3848369795538026,0.0005376646361152,0.665866824624748,0.8795106107244993,0.0033249082744189,0.0002545760425813,0.0086555854477642,-0.0076113082031511,3.11180983790748e-15,1.1755726054317147e-14,0.0003918341442795,0.663316129795925,0.8674134005023636
26,27,414,0.104342358448775,0.1935076465777282,0.0063654570127517,6.31754710213071e-07,3.3915252864070125e-06,398,0.157464097894263,0.42071082906059437,0.0008990922311449,0.449223460888735,0.8405551533270356,0.0027331823908034,0.0016898675857072,0.017629961508262938,-0.0078347489072348,4.8575925885346204e-17,2.252156563775142e-16,-0.0002120536374702,0.80429286584171,0.956083527175211
27,28,474,0.0130154624494026,0.0886246760201172,0.0075312346674723,6.43258222392653e-06,2.2624944373810555e-05,418,0.0933246813947335,0.3848369795538026,0.0013165895840783,0.420910430876944,0.8100540367820431,0.003107322541697,0.0077749904218405,0.02516593812528098,-0.0062247643982838,4.80204813031824e-07,5.324009883613702e-07,0.000240866384343,0.835394756815828,0.956083527175211
28,29,437,0.0522380541078746,0.13662260305136434,0.0054018191340369,3.36821946942495e-05,9.041010154772234e-05,383,0.220678514771862,0.4328693943601909,0.001042984718397,0.418769382900583,0.8100540367820431,0.0021794172078199,0.0177662865636097,0.04214328440670208,-0.0064895236111074,1.72659810841421e-11,3.202054673786353e-11,-0.0006077767921051,0.503939636898532,0.7360445021556133
29,30,356,0.36343935347395,0.3861543130660719,0.0067851358100763,2.41450833001249e-05,7.463025747311331e-05,412,0.110182923017419,0.3848369795538026,0.0001138205558425,0.94424827248535,0.9586275196038793,0.0033356576271169,0.0034743902562834,0.01893066407076513,-0.008031790722063,7.95233497152667e-11,1.2479048724549544e-10,-0.0004587183651035,0.69321909429523,0.884350535455194
32,33,463,0.0204419404035434,0.10844031414308118,0.0100556651399524,6.19422736661872e-11,3.159055956975547e-09,396,0.165146421597456,0.42071082906059437,0.0047716271545162,0.0005391311342627,0.027495687847397702,0.002642018992718,0.0100703185160211,0.026797349491563233,-0.0076756446065441,1.0867302731338399e-11,2.0914431671632388e-11,-0.0016427874422713,0.0994247752573478,0.24734944088413355
36,37,369,0.290645912653417,0.3487750951841004,0.0049289542148722,0.000453281639233,0.0007506367601644259,217,0.96660169979441,0.96660169979441,-0.0002163132153266,0.877742620084904,0.952444119666598,0.0025726337150994,0.009612705195134,0.026499889997396435,-0.004599740177102,1.14666459428962e-05,1.1814120062377904e-05,-7.95537994238679e-05,0.935650843979429,0.9908209078480869
37,38,530,0.0007230652263388,0.017673851602011702,0.0073511310465284,5.43340021130578e-10,1.1084136431063792e-08,299,0.703995268806466,0.7402836847243252,0.0030812410856348,0.0037925664444738,0.09671044433408191,0.0021349449804468,0.0070063271008952,0.02516593812528098,-0.0074657011832465,3.5333035127524303e-17,1.8019847915037395e-16,-0.0033875862668215,1.48294967675663e-05,0.0002521014450486271
38,39,531,0.0006796400266466,0.017673851602011702,0.0108351596177856,2.77244210592431e-12,2.827890948042796e-10,305,0.670956514441059,0.720395415505137,0.0053449785334752,0.0001812767487555,0.018490228373061,0.0027450905421552,0.0085724041504659,0.02516593812528098,-0.0109267769724844,1.21843381371703e-20,1.0356687416594756e-19,-0.0041858176042809,7.55739240683977e-05,0.0011012200364252235
39,40,546,0.0002549585624365,0.017673851602011702,0.0109548528629887,5.037758449415901e-10,1.1084136431063792e-08,324,0.558597168637789,0.6261199033082909,0.0043880173013052,0.0058963258682816,0.12028504771294465,0.0032834177808417,0.0054117533406754,0.0228876569183034,-0.0117747034791459,4.21308090038906e-19,2.864895012264561e-18,-0.0034631263704694,0.004004224844345,0.027228728941545998
40,41,506,0.0028462801565183,0.036290071995608325,0.0078083285147118,1.30549797045012e-07,9.511485213279446e-07,347,0.417028453681269,0.5508942377273347,0.0023234721514225,0.0834147488499553,0.5365412172594697,0.0027424281816446,0.0058341086262342,0.0228876569183034,-0.0058856564412739,1.04639678841234e-08,1.3176848446673912e-08,-0.0002828655943776,0.768778336184966,0.9506799381224031
42,43,484,0.0083762947906507,0.07119850572053095,0.0071031219967591,3.16838001281386e-07,2.019842258168836e-06,400,0.150014658051077,0.42071082906059437,0.001424472430518,0.272080476058625,0.7929202445137071,0.0028393247831205,0.0027973290015155,0.01893066407076513,-0.0075123041274781,6.75580414076443e-14,2.026741242229329e-13,-8.41988608469361e-05,0.92830252116865,0.9908209078480869
45,46,451,0.0322114844166208,0.11329556587914902,0.0072961984428905,2.87208577039623e-07,1.9530183238694364e-06,402,0.142798171611503,0.42071082906059437,0.0024607459188775,0.0683986041976443,0.5365412172594697,0.0024177262620064,0.0135574051055946,0.03372817855538169,-0.0060655351046152,1.27975376938784e-08,1.591888835092191e-08,-0.0004978193914987,0.608242057517853,0.8354022228697425
46,47,456,0.0267759372654837,0.11314275440963681,0.0090353213861301,2.8324301694805703e-09,4.127255389814545e-08,386,0.207017150736647,0.4223149875027599,0.0034981821897411,0.0153160174637278,0.23406036996825244,0.0027685695981945,0.0081170586463988,0.02516593812528098,-0.0068329768706333,7.497940876053701e-10,1.0476574922705172e-09,4.76150836270115e-06,0.996388283066312,0.998166882336618
52,53,442,0.0442020713817328,0.13662260305136434,0.0057759209665588,0.0002358604473065,0.00044551417824561113,445,0.0398678040946834,0.3848369795538026,-0.0003795237392828,0.76238301934449,0.9113948429573111,0.0030777223529208,0.0021821295288228,0.017629961508262938,-0.0089961599916102,3.70848826816056e-15,1.3509492976870611e-14,-0.0018084084509623,0.0519569814316723,0.17665373686768582
57,58,428,0.0694925171555951,0.14465789285450406,0.0038007483463598,0.00680669597202,0.009257106521947198,426,0.0738501180749154,0.3848369795538026,-0.000531658263286,0.670883795167845,0.8795106107244993,0.0021662033048229,0.0208694139225814,0.0447168759706098,-0.0066094503705153,1.2960863085362002e-10,1.973146320458096e-10,-0.0016234697949,0.0876981219678081,0.2405346673971631
58,59,423,0.0807633588992758,0.1554313699570968,0.007376522567384,9.947870795458111e-10,1.691138035227879e-08,374,0.26453957927879,0.4573396116345183,0.0018638616166998,0.0994143580853063,0.5365412172594697,0.0027563304753421,0.0007813283373822,0.017629961508262938,-0.0103981158746307,2.38227841578478e-31,1.2149619920502379e-29,-0.0042432928365451,4.42051353891233e-07,2.2544619048452883e-05
59,60,430,0.0653307222237345,0.1417815673791685,0.0040488804857998,0.0005128587813307,0.0008303427888211334,412,0.110182923017419,0.3848369795538026,-0.0004764960977465,0.673812418486576,0.8795106107244993,0.0022626882917732,0.0051943164036648,0.0228876569183034,-0.0071120147745195,3.24886388414428e-17,1.7441269272774556e-16,-0.0016562544664515,0.0547736066900472,0.17974452485157763
60,61,351,0.392961339530302,0.40900057787847754,0.0069006546878838,5.2588402435819e-06,1.9866729809087176e-05,423,0.0807633588992758,0.3848369795538026,0.0003982588654191,0.777946563399737,0.9113948429573111,0.0032511979112323,0.0016042605203608,0.017629961508262938,-0.0085143945953539,2.69620803900902e-14,8.871394192868389e-14,-0.0019051190593612,0.0689084902742117,0.2067254708226351
62,63,411,0.113187346927589,0.19905361011403583,0.0036841885697382,0.0096909265709958,0.012355931378019646,428,0.0694925171555951,0.3848369795538026,-0.0011193242514623,0.382600442267123,0.8100540367820431,0.0024017564106002,0.0122040021477711,0.031120205476816303,-0.0058350870590674,2.08668138878633e-08,2.4757986192453983e-08,-0.0015526010450246,0.102236020196382,0.24828747761978487
64,65,400,0.150014658051077,0.23184083516984627,0.0044529715777789,0.0109439901660122,0.013781320949793141,465,0.0188785119535169,0.3848369795538026,-0.0010020772490157,0.543888628623376,0.8405551533270356,0.0027275244133973,0.0232504822978246,0.04567431271843088,-0.0082664430914856,4.68536040538091e-10,6.926184947084823e-10,-4.1609120367404e-05,0.971393046909889,0.9908209078480869
65,66,360,0.340369620942511,0.37957883764231093,0.0056141806682017,2.99689652887096e-05,8.375584325758376e-05,429,0.067387430157396,0.3848369795538026,-0.0001651253185452,0.900844467929258,0.9586275196038793,0.0028896529933735,0.0021949602832076,0.017629961508262938,-0.0083153142247612,6.62157504059234e-17,2.936524583219212e-16,-0.0017817943310289,0.0494615347817045,0.1755662491807
66,67,491,0.0060427313292166,0.05603259959819029,0.0060430155606335,4.49161143583159e-06,1.7620937171339316e-05,422,0.0831703802687116,0.3848369795538026,0.001249026170778,0.306827107493627,0.8100540367820431,0.0023969946949277,0.0072198397723388,0.02516593812528098,-0.0070034425164597,5.76311917580784e-13,1.4337515998351212e-12,-0.0028538247349722,0.0011040252077099,0.010237324653309982
70,71,356,0.36343935347395,0.3861543130660719,0.0046945486082319,0.0010885656487448,0.0016823287298783271,435,0.0557520555012161,0.3848369795538026,-1.85167358951159e-05,0.989468452397977,0.989468452397977,0.0023565326720635,0.01876682971517,0.04350492343062136,-0.0067179590302679,7.225182425131401e-10,1.026201057273412e-09,-0.0004005507435709,0.693608263102113,0.884350535455194
71,72,420,0.0881413452152629,0.16648920762882993,0.0056074701628806,3.46566940486587e-05,9.064058443495353e-05,381,0.230058808519971,0.4427546880950385,0.0005900309461192,0.656510553657988,0.8795106107244993,0.0025087196083806,0.0077971244071259,0.02516593812528098,-0.0077755096281871,2.6180747223119903e-15,1.0270908525993193e-14,-0.002027663485415,0.034982841885105,0.14110798800281085
73,74,524,0.0010396383295301,0.017673851602011702,0.0074298250895387,3.84871751600356e-06,1.6357049443015128e-05,336,0.484528984001372,0.5746739112574413,0.002307265578948,0.136250293306644,0.6579388836898123,0.0025612797552953,0.0208667103470403,0.0447168759706098,-0.0145618470358778,4.13974200463312e-28,1.0556342111814455e-26,-0.0055936463700311,3.11075101795707e-06,9.188537353622156e-05
74,75,391,0.185366598176188,0.2701056144853025,0.0068535027825662,5.63403570051972e-06,2.0523987194750408e-05,405,0.132409316996927,0.42071082906059437,0.0005849419361586,0.698902169045434,0.8795106107244993,0.0031342804232037,0.0032495699918081,0.01893066407076513,-0.0106767483056557,3.06259020198321e-21,2.839856369111704e-20,-0.0027187837666191,0.0150634957066957,0.07682382810414808
75,76,453,0.0299395626498153,0.11314275440963681,0.0066474150209464,5.6466169092846e-09,6.66769350817441e-08,440,0.0472913222038187,0.3848369795538026,0.0008745119021301,0.419404546224123,0.8100540367820431,0.0028864515594081,0.0002327590042341,0.0086555854477642,-0.0083152672243803,2.80413442218242e-22,3.5752713882825856e-21,-0.0005976168026109,0.452013516680504,0.678020275020756
76,77,351,0.392961339530302,0.40900057787847754,0.0054195679407837,4.70674419095775e-05,0.00012002197686942263,340,0.459831954081892,0.5517983448982704,8.93646485860193e-05,0.943826927506194,0.9586275196038793,0.0026651016460988,0.0037118949158363,0.01893066407076513,-0.0054600059859687,2.22930737475913e-08,2.613670715234842e-08,-0.0006136588519575,0.505128579910715,0.7360445021556133
77,78,379,0.239652566684526,0.3174618415820994,0.0066183515386723,1.58898480375238e-05,5.064889061960711e-05,386,0.207017150736647,0.4223149875027599,0.0004024752551565,0.786301433139641,0.9113948429573111,0.0031079381417579,0.0034735821139896,0.01893066407076513,-0.0081946081983145,1.76652335476961e-13,4.5046345546625057e-13,-0.0004108388627325,0.703199028672497,0.8855098879579592
