,node,L2_more_than_0_t,L2_more_than_0_p,L2_more_than_0_q,L1_slope_pos_estimate,L1_slope_pos_p,L1_slope_pos_q,L2_more_than_L1_t,L2_more_than_L1_p,L2_more_than_L1_q,L2_slope_pos_estimate,L2_slope_pos_p,L2_slope_pos_q,L1_slope_more_L2_estimate,L1_slope_more_L2_p,L1_slope_more_L2_q,L1_lucy_slope_estimate,L1_lucy_slope_p,L1_lucy_slope_q,L2_lucy_slope_estimate,L2_lucy_slope_p,L2_lucy_slope_q
0,1,433,0.0594449738127878,0.13780425747509897,0.0036220995374938,0.0002302067924563,0.0004430394873687282,315,0.612997328455094,0.6796274728523869,0.001308144125223,0.148379345758844,0.6579388836898123,0.0011569777061354,0.0843349815602763,0.11624551512362409,-0.00600216595927,2.92601084400659e-16,1.2435546087028007e-15,-0.0011270179723691,0.0910361970718224,0.2405346673971631
1,2,437,0.0522380541078746,0.13662260305136434,0.0013562801229264,0.438863622264119,0.4432088066429717,356,0.36343935347395,0.5221241416104634,0.0001690762513931,0.914203529103825,0.9586275196038793,0.0005936019357666,0.613747720820444,0.6323461366028817,-0.006383179441989,5.11104905591416e-07,5.605666706486498e-07,-0.0025476365644201,0.0286133288194747,0.1268938930254965
2,3,430,0.0653307222237345,0.1417815673791685,0.0021502587137866,0.076170937778585,0.08537841377379857,445,0.0398678040946834,0.3848369795538026,-0.0002759830229382,0.799103352870008,0.9158263145251777,0.0012131208683624,0.135723876449092,0.17091154812107884,-0.0058861073811966,6.009285707584279e-12,1.2769732128616593e-11,-0.0010801945656381,0.164545537135499,0.3489489882289613
4,5,375,0.25946164742345,0.33081360046489877,0.0025715298697415,0.0974466209297872,0.10462689826145573,324,0.558597168637789,0.6261199033082909,0.0007530422257144,0.55766168679536,0.843474963359628,0.0009092438220135,0.366351190990928,0.389248140427861,-0.0063536423694343,1.9333134450133e-08,2.34759489751615e-08,-0.0025408526787265,0.0064162905952295,0.038497743571377
5,6,378,0.244528081486351,0.319767491174459,0.0032350472740837,0.0138818508755651,0.017267668162288294,392,0.18120720742445,0.42071082906059437,0.00051349571286,0.681861041211838,0.8795106107244993,0.0013607757806118,0.133397416391202,0.17008170589878255,-0.005771326724745,6.51954117078226e-09,8.312414992747381e-09,-0.0015535108640698,0.0787851193006808,0.22960234767626975
6,7,433,0.0594449738127878,0.13780425747509897,0.0043931895972851,0.0010490399410829,0.0016461857536993203,308,0.653913412737893,0.7157691347219562,0.0020054543706626,0.0999439522346071,0.5365412172594697,0.0011938676133112,0.186813174813737,0.21181784121632727,-0.0068714264746065,7.6390111123831e-13,1.7708616669615367e-12,-0.0012382742773381,0.15721936449386,0.3411994718802919
7,8,462,0.0212628066947218,0.10844031414308118,0.0014689377650498,0.297433677509336,0.30338235105952277,411,0.113187346927589,0.3848369795538026,-0.0020785663829186,0.0976790201052971,0.5365412172594697,0.0017737520739842,0.0598813178526879,0.0885202089996256,-0.0065694030785264,6.250997953843689e-11,9.96252798893838e-11,0.0005829810740297,0.535110939969836,0.7580738316239344
8,9,363,0.323436524704448,0.3748923354528829,0.003976730192433,0.0076794683922068,0.010172802285780437,343,0.441402831362211,0.5508942377273347,0.0010264754648156,0.460901878582599,0.8405551533270356,0.0014751273638087,0.146437554842669,0.17916312390638214,-0.0056058820371491,1.10883649336652e-07,1.2708013744200566e-07,-0.0024122028811838,0.0143506253938491,0.07682382810414808
9,10,405,0.132409316996927,0.2143769894235961,0.0085311339898378,3.57917159987356e-10,1.1084136431063792e-08,353,0.381069868046325,0.5273954820011948,0.002813864812972,0.0363537124109097,0.38386385753809654,0.0028586345884328,0.0025917623542492,0.018882840009529882,-0.011281262362086,1.3187450336663798e-28,4.483733114465691e-27,-0.0055905064081187,6.692755969540741e-09,6.826611088931556e-07
10,11,448,0.035876996917068,0.11804689308196568,0.0043158824260107,7.87199875042353e-05,0.0001867311331495814,453,0.0299395626498153,0.3848369795538026,-0.0004595315661491,0.67045024317235,0.8795106107244993,0.0023877069960799,0.0018582052024925,0.017629961508262938,-0.0063002889946891,2.4459516300967103e-15,9.979482650794579e-15,-0.0012087793123861,0.107574199495556,0.2551760081057375
11,12,424,0.0784079850272974,0.15380027832277568,0.0052211388490245,0.0001058221127022,0.0002346490325135739,449,0.0346199133928167,0.3848369795538026,0.0008344814363594,0.536997179847725,0.8405551533270356,0.0021933287063325,0.0210432357508752,0.0447168759706098,-0.008751029942954,1.09286689412527e-18,6.55720136475162e-18,-0.002999640816437,0.00214194685129,0.016806044525506155
12,13,380,0.234829279725091,0.3174618415820994,0.0036342021934524,0.0070125558043053,0.009411588053146586,344,0.435285237952485,0.5508942377273347,-0.0003737664305234,0.781462253221321,0.9113948429573111,0.0020039843119879,0.0354299256715615,0.05883714724606275,-0.0069455794211721,6.911788142346689e-13,1.6443913894131993e-12,-0.0001847205797819,0.849449893134089,0.956083527175211
13,14,388,0.198187374669942,0.2807654474490845,0.0034041029952111,0.008929939337703,0.011529795094249444,433,0.0594449738127878,0.3848369795538026,0.0008429610631592,0.518313533020884,0.8405551533270356,0.0012805709660259,0.16502038078553,0.19572184697818673,-0.0069309170632281,7.42023738569102e-12,1.491266811997064e-11,-0.001059397322069,0.253751467859858,0.46219017360188425
