,Unnamed: 0,sub,source_column,index,reappraised_text,onset,offset,event_num,event_label,onsetSEC,offsetSEC,duration
0,0,1,Q1_1.1,2,"Oh, my God. The shift won't end. Deborah never showed up. I can't reach Mr. Haney, so  I have to work all of it.,",2.3599999999999985,10.18,1,conversation_bf,2,10,8
18,18,1,Q1_1.1,3,"And there's a dog loose in the mall. Do you hear that?  Hold on, I’ll hold up the phone.,",10.64,14.94,1,dog,10,14,4
38,38,1,Q1_1.1,4,"Poor thing. He looks hungry. No, no. Dogs aren't allowed in  the mall unless it's a seeing eye dog.,",16.28,21.08,1,dog,16,21,5
53,53,1,Q1_1.1,5,"I called security, but they haven't. No, no. You're terrible.,",22.04,28.3,1,conversation_bf,22,28,6
68,68,1,Q1_1.1,6,"Oh, I cannot wait to watch the game with you tonight. No, I know we're gonna win. No, I know it. I can make us those Frito chili nachos you like. Yeah, I know you like that.,",29.44,41.38,1,conversation_bf,29,41,12
77,77,1,Q1_1.1,7,"Oh, I gotta go. Customer. I love you. No, I love you more. No, I love you more.,",42.28,48.32,1,conversation_bf,42,48,6
84,84,1,Q1_1.1,9,"How can I help you today? Do you have an appointment with us, or are you just browsing?,",58.74,62.58,2,regular_convo,58,62,4
85,85,1,Q1_1.1,11,"Browsing?,",64.64,65.08,2,regular_convo,64,65,1
92,92,1,Q1_1.1,13,"You're in luck. We've extended our frequently formal club Signup bonus to the end of today.  You get 10% off your purchase. Except sale items.,",65.22,72.26,2,regular_convo,65,72,7
93,93,1,Q1_1.1,15,"I'm just gonna sit down.,",72.32,73.84,2,regular_convo,72,73,1
98,98,1,Q1_1.1,24,"My daughter,",90.44,91.2,2,regular_convo,90,91,1
103,103,1,Q1_1.1,26,"And she'll be joining us today I take it.,",91.54,93.54,2,regular_convo,91,93,2
104,104,1,Q1_1.1,28,"Yes, she's just. She is uh,",94.2,96.02,2,regular_convo,94,96,2
114,114,1,Q1_1.1,33,"Lucy, I would love some water.,",106.98,110.16,3,food_court,106,110,4
131,131,1,Q1_1.1,38,"The food court? You mean that pile of-,",118.5,120.76,3,food_court,118,120,2
161,161,1,Q1_1.1,41,"they’re remodeling part of it.,",120.88,121.9,3,food_court,120,121,1
176,176,1,Q1_1.1,42,"You'll have to pardon our dust, but just beyond that Sunglass kiosk-,",122.06,124.98,3,food_court,122,124,2
184,184,1,Q1_1.1,44,"Sunglass kiosk… Don't you have some water and snacks here in the store?,",125.28,129.64,3,food_court,125,129,4
