"node","n_sub","mean_pre","mean_post","mean_diff","t","p","p_fdr"
"1",36,1.34603234636987e-05,-0.000159936180694836,0.000173396504158535,5.74299091435269,1.68444883828406e-06,9.10115668617966e-06
"2",36,2.66272922214911e-05,-3.23679482370874e-05,5.89952404585785e-05,1.32469602330643,0.193856678552049,0.193856678552049
"3",36,1.87617673190688e-05,-7.45551995221321e-05,9.33169668412009e-05,2.68974791766023,0.010881717224044,0.0122231476472146
"4",36,2.05401961694915e-05,-0.000115370824028512,0.000135911020198003,2.60746022246153,0.0133176261186487,0.0146064286462598
"5",36,4.15074356088962e-05,-8.3492975472509e-05,0.000125000411081405,2.59220923264089,0.0138209551188391,0.0149972066183147
"6",36,2.569453672435e-05,-4.85591263963665e-05,7.42536631207165e-05,1.64628587767118,0.108656614773215,0.109732422840277
"7",36,-2.69100473174327e-06,-0.000167494134208995,0.000164803129477251,4.140241123957,0.000207682811592456,0.000371642926007553
"8",36,2.55267221679543e-05,-5.9587160462602e-05,8.51138826305564e-05,2.1563433107934,0.0380101144923617,0.0391619361436454
"9",36,2.28213379982565e-05,-8.98915027019608e-05,0.000112712840700217,2.78935379770422,0.0084869142896031,0.00995017537401743
"10",36,3.15618923142664e-05,-0.000192516075600157,0.000224077967914423,7.20021482165736,2.11125262222169e-08,3.07639667809447e-07
"11",36,1.99009175216591e-05,-0.000118332187894425,0.000138233105416084,4.30174273798245,0.00012931448812865,0.000263801555782447
"12",36,3.08108401826604e-05,-0.000131982455964945,0.000162793296147606,4.28445228069486,0.000136070342106962,0.000269464096757162
"13",36,8.1650148438072e-06,-6.64519465700457e-05,7.46169614138529e-05,1.82421678889346,0.0766665252988502,0.0781998558048273
"14",36,3.7510670175724e-05,-0.000155366999718789,0.000192877669894513,4.79485476347398,2.97673542431681e-05,9.20081858425194e-05
"15",36,4.07030382771002e-05,-0.000154522825686815,0.000195225863963915,4.9693716520862,1.75972255589344e-05,5.79005486132681e-05
"16",36,2.48950803607669e-05,-0.000129185532609276,0.000154080612970043,3.35965462943148,0.00189591672041684,0.00264908911619888
"17",36,3.27574832380689e-06,-9.21216036103164e-05,9.53973519341233e-05,2.83453164828735,0.00757140229701659,0.00898003528250805
"18",36,3.84848280892505e-05,-0.000130048982974874,0.000168533811064124,4.98996460348917,1.65364867799822e-05,5.79005486132681e-05
"19",36,1.4847030324795e-05,-0.000135511886187327,0.000150358916512123,2.6888850439139,0.0109049650578091,0.0122231476472146
"20",36,2.22187696817398e-05,-0.000147319653984992,0.000169538423666731,3.6745126605754,0.000791310241995844,0.00124174837974732
"21",36,3.83687339201821e-05,-0.000100698162749932,0.000139066896670114,3.60244884577602,0.000968870701777756,0.00145330605266663
"22",36,4.81716266874727e-05,-0.000147037550069031,0.000195209176756504,5.3927116254128,4.88172186819566e-06,2.42733988420626e-05
"23",36,2.56631540201647e-05,-0.00015995050389991,0.000185613657920075,8.21330075194909,1.11756872347983e-09,3.79973365983141e-08
"24",36,2.34495127187111e-05,-0.000175955031715661,0.000199404544434372,5.09588572372543,1.20057486992532e-05,4.70994756663011e-05
"25",36,3.87393658845333e-05,-0.000118309732198762,0.000157049098083296,5.90246784408793,1.03791980726357e-06,6.61673877130528e-06
"26",36,3.70029216161629e-05,-0.000173763963146615,0.000210766884762778,5.2532245459761,7.45407762852023e-06,3.18944156148959e-05
"27",36,4.1275127719533e-05,-0.000159761833584735,0.000201036961304268,5.30143182571169,6.44007707736703e-06,2.98585391768835e-05
"28",36,4.35779247362517e-05,-0.00012143914422506,0.000165017068961311,3.96342393464701,0.000347002511888376,0.00058990427021024
"29",36,2.03314067748452e-05,-0.000141747041493205,0.000162078448268051,4.54100788830604,6.36349621473595e-05,0.000175426111865694
"30",36,4.50600690535653e-05,-0.00011899836202685,0.000164058431080415,3.7627808127761,0.000616411360774732,0.00101409610966166
