"node","_Intercept__estimate","_Intercept__p_value","event_estimate","event_p_value","listenL1_greater_estimate","listenL1_greater_p_value","event_listenL1_greater_estimate","event_listenL1_greater_p_value"
"1",-0.0452325496082477,2.11984009187536e-05,0.00328697790055241,9.37410597231361e-14,-0.0634238922325185,3.55100783776096e-10,0.00327946939476573,1.06494330386095e-13
"2",-0.0544038634503391,0.00169597569314312,0.0043762599022971,5.28202688308021e-11,-0.047322851631861,0.00192410255404462,0.00279028205454684,2.74028363033285e-05
"3",-0.0504539308250949,0.000116859883842979,0.00349197876558296,2.73256855259497e-11,-0.027996989654173,0.0195413835379321,0.00205292267010078,8.64279814208432e-05
"4",-0.0482770938621631,0.00161326220762806,0.00350544714442678,4.46165307373365e-09,-0.0421059453604948,0.00208929115596693,0.00260667785354384,1.25314853255346e-05
"5",-0.0763924939307692,2.8314981256162e-07,0.00512579694318203,2.456707779289e-17,-0.0371640319039244,0.00711169432798727,0.00242221724472638,5.75456167719732e-05
"6",-0.0606212476426322,8.94840632256182e-05,0.00414858162369486,1.43754370007171e-10,-0.0424060642239321,0.00417772050992767,0.00214923249706214,0.000866008410686032
"7",-0.0584995405631285,1.08484697238571e-05,0.0037814949546964,4.14212444824249e-14,-0.0286950098991674,0.0120701297229887,0.00215978233335735,1.48545704397793e-05
"8",-0.0483618676160587,0.000413943032708638,0.0035849602004746,2.04324274166972e-09,-0.0336463356088137,0.0139705724514888,0.00197762020502579,0.000919355491033218
"9",-0.0623884123066499,3.61828087296149e-05,0.00393314006726153,1.00102626176841e-10,-0.0501035082612622,0.000319422548051326,0.00272552297477554,7.12085702679895e-06
"10",0.113641328857823,5.44269609502226e-07,-8.85327228982273e-05,0.886857509002149,-0.0360484840488134,0.011636196275133,0.002182695516807,0.000458417247251344
"11",0.0361251617864276,0.0307735202616722,0.00148011346512345,0.00190895732349693,-0.0560442236502413,3.15673051886139e-07,0.0030922493642981,1.00554452257354e-10
"12",0.0743303971419953,0.000434464993163055,0.000547722287460933,0.362666457353553,-0.0376540340587491,0.00642520668305667,0.00264561164994437,1.13560626680825e-05
"13",-0.0500952643270354,4.52263511223158e-05,0.00308258086227524,8.82998512872941e-09,-0.0538969558510057,1.14635556185815e-05,0.00315185276105363,4.09606893967887e-09
"14",-0.0551858863406872,7.51437043673032e-05,0.00330898048432027,1.05776341116662e-09,-0.0366703548433313,0.00314219302957302,0.00285606804369647,1.36459921885729e-07
"15",-0.0782693701203994,4.3198506108391e-09,0.00464234946257976,2.55722925677868e-18,-0.0323760378698579,0.00759713362960811,0.00227151064895394,1.75655338014659e-05
"16",-0.0583716682920652,4.44421503366834e-06,0.00418862917573673,2.33541146362455e-15,-0.0460972040457654,0.000135820437998364,0.00258894167830137,8.93730391234424e-07
"17",-0.0466911091165514,0.000271981843073874,0.00303230186532392,6.01931428029111e-08,-0.0370305740394136,0.00386923994799505,0.00264351120984539,2.28442395211847e-06
"18",-0.0711863844275092,1.51180611064221e-06,0.00387869509369276,5.35993853567285e-12,-0.0565570733826393,1.1200035060396e-05,0.00277998565113697,7.31986168869912e-07
"19",-0.0505734476116957,0.00100511998461678,0.0031640155850439,5.17336711556448e-07,-0.0432104778489342,0.00277515888841223,0.00244850166991019,0.000101017511405253
"20",-0.085724584492928,3.2585197623423e-07,0.0049732180372049,5.13143277997013e-16,-0.0621684475555394,9.20082960247306e-06,0.00305414264001702,5.79598120767088e-07
"21",-0.0707905174102965,2.0108219131807e-07,0.00410552164125944,2.23937211472932e-14,-0.0445841044439482,0.000285429622941874,0.00261045961777959,1.11283177441592e-06
"22",-0.0531774225046933,1.25396866255514e-05,0.00369587881122796,3.68548964458999e-12,-0.0521982010855562,1.80435511751055e-05,0.00279751985431598,1.36896537458571e-07
"23",-0.0726992118312108,3.26649485696887e-11,0.00412079328992839,5.87448165366208e-19,-0.0500680000485504,2.20970965434709e-06,0.00290999626051455,2.91123628373342e-10
"24",-0.0409112667154445,0.0204361158259017,0.00390424745125005,3.26066519175301e-12,-0.0395895832066501,0.00200960910641442,0.0026318406361333,2.5141320827149e-06
"25",-0.0594877921399348,7.29284652017382e-08,0.00422859850064506,1.51123973589406e-25,-0.0559666013756499,1.32201579020069e-09,0.00299673308568608,1.00776817706281e-13
"26",-0.0508273221889955,2.74904659036721e-05,0.00344811097764027,5.757960514212e-12,-0.0504460074776049,1.07931383719947e-05,0.00245293253890743,9.17321726696759e-07
"27",-0.0826863399300024,2.46400907364482e-08,0.00474620399643599,1.62270479128009e-17,-0.052873964034074,3.24330052196574e-05,0.00266325501493977,1.57687747123321e-06
"28",-0.0702383872634967,4.79854125810572e-06,0.00395170151261642,1.1859284459187e-10,-0.0486120427768345,0.000536411960091162,0.00232641442328627,0.000143966763541604
"29",-0.04764035870066,0.000200385982892863,0.0031263807214439,2.77086342050328e-09,-0.0478531683975041,7.13136478951774e-05,0.00282018298187512,8.06855531932743e-08
"30",-0.0855559382401272,1.00929337317279e-08,0.00449172422492943,1.25472989274917e-13,-0.0451811359814777,0.00110918053655017,0.00262110395485208,1.43331333285329e-05
"31",-0.0805618224874307,2.2590954572872e-12,0.0051742372282369,3.54710088760011e-30,-0.0692039386100844,2.0286094378453e-11,0.00339840489580258,4.45634858999273e-14
"32",-0.0811920379619276,3.70916506611048e-18,0.00488181642583423,1.97688912207893e-36,-0.0453843523209411,2.36665749319869e-07,0.00269254313695793,2.18859307882606e-12
"33",-0.0813056138813818,3.90960374157174e-09,0.00490243074614651,8.95769427315263e-19,-0.0603868351271283,1.81794641980291e-06,0.00289560500630955,1.52301299790932e-07
"34",-0.0410283571472347,0.00502975768297787,0.00295606553310983,3.04443538444158e-07,-0.0364016008604147,0.00591760501315382,0.00227381477126015,8.05884489194897e-05
"35",-0.0585842773831684,1.24800086961115e-05,0.00382869944080617,1.67243345071267e-14,-0.0576000080588784,4.52004589882669e-07,0.00275185508980255,3.21136209880678e-08
"36",-0.0658338540264672,0.000115547259666502,0.00420285559282309,6.60967452012281e-11,-0.0671781628769289,5.19938821040513e-06,0.00282203864913187,1.1160137059765e-05
"37",-0.0373431225637617,0.00495140368962779,0.00316339933315768,1.53111537756985e-09,-0.0676713092087455,1.76535997324991e-08,0.00325142427503501,5.36621977418278e-10
"38",-0.0482561164486894,0.000287599525509103,0.00476687350685956,8.394404850479e-19,-0.0468011109609934,0.000138899370835809,0.00256552751159567,1.67140312642405e-06
"39",-0.0422242620428779,0.01693466983832,0.00501316477379794,3.62454224457256e-14,-0.0316767245688545,0.0361403095772463,0.00141144252795976,0.0321462256923412
"40",-0.0269827558957932,0.109509333022615,0.0036163452581828,8.5593587575028e-09,-0.0305172362806565,0.0338021146806886,0.00206336369253556,0.000996853187185377
"41",-0.0760923997415083,3.46469942480351e-08,0.00481044402801172,1.10013865291441e-17,-0.0545004404853596,2.15127713802288e-05,0.00254579215840277,5.2802213293174e-06
"42",-0.0571520676384494,5.26649954926961e-06,0.00460995927742929,4.74196718861265e-20,-0.0526086278200459,4.51930754469075e-06,0.0027497170387699,3.87921093141426e-08
"43",-0.067305198688384,4.02903759589106e-07,0.00456139942596714,1.35471165164884e-20,-0.0516845295675652,3.82167684083058e-06,0.00282630329480592,6.93307133021882e-09
"44",-0.0767327217701177,2.11633948375882e-07,0.00478241991288209,1.11499193968808e-15,-0.0659552794750489,1.34151742299994e-06,0.0028883941513102,1.18778289732256e-06
"45",-0.0728860051306448,3.94022700823712e-08,0.00417058886021358,2.82616319103023e-17,-0.0693850440878573,7.89574856867034e-10,0.00325672053784206,3.64713410178078e-11
"46",-0.0696705676693701,1.28330970462082e-06,0.00498207281690691,1.74664416684386e-19,-0.0627268629691705,6.40586956032539e-07,0.00302739221070948,3.55853042797311e-08
"47",-0.0582686002958328,1.01238052879336e-05,0.00385855779719281,1.31502718787479e-12,-0.0447897016063117,0.00031859329299393,0.0024334273651234,7.28078694487968e-06
"48",-0.0744863237394597,1.10785544124784e-06,0.00444208220223239,1.30623595205466e-16,-0.0700871352077613,1.15423837988407e-08,0.00364657758661766,1.00993743446325e-11
"49",-0.086822055702514,8.69965275802689e-09,0.004660539907721,1.28713659398109e-13,-0.0476809453184768,0.000915122126968205,0.0026007856835404,3.35659444074672e-05
"50",-0.108660556851062,4.96317686988363e-15,0.00619933592567997,2.55944640712687e-29,-0.0585638959035959,2.99158846039248e-06,0.00276740823195345,4.10196842437634e-07
"51",-0.0533861442568069,5.16009075075498e-06,0.00412511726951709,1.76020312013237e-18,-0.0655323329708318,1.10141690362807e-09,0.00349379600463998,9.7866080625938e-14
"52",-0.0475080199598161,0.00276362770369544,0.0040298141707931,1.18567927564743e-10,-0.0439136984043919,0.00215927837527782,0.00268803256806362,1.66673485961411e-05
"53",-0.0506874792883607,0.000360696341122846,0.00421650637385164,5.04323083411476e-15,-0.043422550761093,0.000419812185712482,0.00292778944197017,5.05070416596839e-08
"54",-0.0792366733109251,4.83474178685575e-09,0.00465470142889986,5.80992176332133e-18,-0.0411161449978216,0.000828011348795237,0.00238284690813076,8.86752514425312e-06
"55",-0.0729921248236187,1.08064127480951e-06,0.00487543842733916,3.13074072208225e-16,-0.0362783353358173,0.00774988558905958,0.00221126709599633,0.000197284911862893
"56",-0.0497998468995683,0.000529271102569752,0.00338420174019848,6.44802307463591e-09,-0.0445027965181579,0.00085927367106076,0.00239495169670578,3.88624852970852e-05
"57",-0.0459859678309064,0.00217683649625488,0.00383677311352406,1.47546684366893e-09,-0.055988056575351,0.000116860458086376,0.00250601515800549,7.58554015834589e-05
"58",-0.0472826075105375,0.00254561260129474,0.00360152069008311,3.60441659994884e-09,-0.0424143395695506,0.00240198109224103,0.00196672126802764,0.00123896447304179
"59",0.0684654281125922,0.000259604050631657,0.00144365534083596,0.00845143401800197,-0.0379792600291397,0.00254210736193839,0.00247131028106557,6.71035842719118e-06
"60",0.00324878512933989,0.844568159311453,0.00229784299928183,4.22447587237575e-06,-0.0357974130578117,0.00177282639481781,0.00228389267378703,4.82630180801506e-06
"61",0.0281287989119396,0.18663479541516,0.00248039725008541,0.000245138573421314,-0.0446454438247938,0.00400669528129469,0.00289455079769044,1.88800814701209e-05
"62",-0.0465582264713622,0.000344196021073104,0.00303038552626714,4.69760555741046e-08,-0.0503468185304291,7.50930096121978e-05,0.00256441852848243,3.72801157318518e-06
"63",-0.0509316761593066,0.00380037442072203,0.00424920522902644,1.65485299842568e-11,0.00461335691783542,0.749070501650984,0.000197990423407921,0.752733215917288
"64",-0.0629142914888796,2.65954134069826e-05,0.00430205509835285,1.38932418838447e-11,-0.0137652566941852,0.344046744028688,0.00180491590842497,0.00443578932867264
