"node","_Intercept__estimate","_Intercept__p_value","event_estimate","event_p_value"
"1",-0.108656441840766,8.99039373384986e-13,0.00656644729531815,8.47406757843099e-23
"2",-0.101726715082201,4.01718519450218e-05,0.00716654195684396,4.65109479963711e-13
"3",-0.0784509204792681,1.79070642826197e-05,0.00554490143568374,1.4306137722683e-12
"4",-0.0903830392226584,0.000131504848399167,0.00611212499797064,2.54843494659398e-11
"5",-0.113556525834694,1.98571862142946e-07,0.0075480141879084,1.99091355705995e-16
"6",-0.103027311866565,3.9552987482377e-06,0.00629781412075702,1.01299842863838e-11
"7",-0.0871945504622954,4.58180471293126e-06,0.00594127728805372,9.47555904003079e-16
"8",-0.0820082032248722,6.3549284072761e-05,0.00556258040550038,1.82391955441139e-10
"9",-0.112491920567912,9.158218055165e-08,0.00665866304203707,6.38300893174997e-14
"10",0.0775928448090084,0.00357000990387701,0.0020941627939088,0.019709130028936
"11",-0.0199190618638147,0.347692407763871,0.00457236282942158,5.17067629691294e-11
"12",0.0366763630832462,0.145412262710538,0.00319333393740531,0.000202246769137375
"13",-0.103992220178041,2.38847278445503e-08,0.00623443362332889,1.08709574924213e-15
"14",-0.0918562411840183,2.9537660770195e-06,0.00616504852801673,2.47989864543867e-15
"15",-0.110645407990258,7.3601626591599e-09,0.00691386011153372,7.67543493634377e-19
"16",-0.104468872337831,1.43150559501005e-07,0.00677757085403812,9.98138752979834e-18
"17",-0.083721683155965,1.49758710101795e-05,0.00567581307516931,4.49467642423584e-12
"18",-0.127743457810149,1.48209272739331e-09,0.00665868074482971,8.25641410284439e-16
"19",-0.0937839254606299,1.10492524779309e-05,0.00561251725495408,1.23037552409159e-09
"20",-0.147893032048467,3.44286544433151e-10,0.00802736067722192,1.54129232179659e-19
"21",-0.115374621854245,2.4859838356374e-08,0.00671598125903902,3.55533765517956e-17
"22",-0.10537562359025,1.67341250998876e-09,0.00649339866554395,2.48027420446669e-17
"23",-0.122767211879761,4.62302673707476e-15,0.00703078955044296,4.59757563227585e-26
"24",-0.0805008499220941,0.000280983364977621,0.00653608808738334,4.0902336542988e-16
"25",-0.115454393515584,1.23877020303964e-12,0.00722533158633114,1.84092146351721e-33
"26",-0.1012733296666,6.03432964300553e-08,0.00590104351654769,1.3465752082703e-15
"27",-0.135560303964077,7.46362280472404e-10,0.00740945901137579,2.67922860315454e-20
"28",-0.118850430040332,1.87026929441982e-07,0.0062781159359027,3.60740271796589e-12
"29",-0.0954935270981644,8.55347895421515e-07,0.00594656370331904,4.60082381973954e-15
"30",-0.130737074221605,6.86844080927799e-09,0.0071128281797815,6.33108615860301e-16
"31",-0.149765761097515,1.90649049323975e-16,0.00857264212403947,5.99638002298706e-36
"32",-0.126576390282869,2.03334963122454e-20,0.00757435956279218,3.81730486466088e-36
"33",-0.14169244900851,3.91305589114871e-14,0.00779803575245607,2.16651507642316e-21
"34",-0.0774299580076492,0.000179888944543781,0.00522988030436997,4.92923039473622e-10
"35",-0.116184285442046,6.16187438943468e-11,0.0065805545306087,1.29898817279521e-20
"36",-0.133012016903396,4.45923953991274e-08,0.00702489424195496,1.38585823214311e-14
"37",-0.105014431772507,4.08925619324357e-08,0.00641482360819268,1.09584056259722e-16
"38",-0.095057227409684,2.6539526952086e-07,0.00733240101845528,4.26602072587372e-20
"39",-0.0739009866117315,0.00195715964308824,0.00642460730175768,1.55124582841595e-11
"40",-0.0574999921764498,0.0131222879012885,0.00567970895071837,3.19447499866921e-10
"41",-0.130592840226868,1.56988770413308e-10,0.00735623618641446,3.688278964093e-19
"42",-0.109760695458496,2.59083915716777e-08,0.00735967631619922,1.79215635415971e-22
"43",-0.118989728255948,1.639488211338e-09,0.00738770272077303,4.93133726903897e-25
"44",-0.142688001245166,1.53720190052953e-10,0.00767081406419226,9.27177974004497e-19
"45",-0.142271049218502,1.30821184900069e-11,0.00742730939805564,3.98494537923555e-24
"46",-0.13239743063854,6.2070242102945e-10,0.00800946502761638,1.893230489864e-23
"47",-0.103058301902144,1.23604840159274e-07,0.0062919851623162,4.39515146052994e-16
"48",-0.144573458947221,3.94882358489534e-11,0.00808865978885005,5.2760859298439e-25
"49",-0.134503001020991,3.15797812004375e-10,0.00726132559126141,2.22793588768488e-15
"50",-0.167224452754658,1.19630395571677e-16,0.00896674415763345,3.14303587216695e-29
"51",-0.118918477227639,2.51141581874851e-11,0.00761891327415706,3.4487333781209e-27
"52",-0.091421718364208,3.73985193091891e-05,0.00671784673885671,4.06253350016992e-13
"53",-0.0941100300494538,8.47273926375177e-06,0.00714429581582182,3.02506826605274e-18
"54",-0.120352818308747,1.1153317383944e-09,0.00703754833703062,3.13532904418056e-18
"55",-0.109270460159436,3.09901231721644e-07,0.0070867055233355,1.67014566593196e-15
"56",-0.094302643417726,2.11820557389838e-06,0.00577915343690425,4.68528920850273e-12
"57",-0.101974024406258,5.94705574592372e-06,0.00634278827152958,1.74071645179801e-11
"58",-0.0896969470800885,1.60010461399773e-05,0.00556824195811077,4.01479664297465e-10
"59",0.0304861680834518,0.176677996182303,0.00391496562190158,9.02304335282814e-07
"60",-0.0325486279284709,0.120885783431965,0.00458173567306883,1.55042466243204e-10
"61",-0.0165166449128544,0.536669405977955,0.00537494804777585,2.32412049497853e-08
"62",-0.0969050450017912,3.16668262150068e-07,0.00559480405474957,4.18916365486326e-12
"63",-0.0463183192414703,0.0454574855852191,0.00444719565243433,8.44885859262043e-07
"64",-0.0766795481830651,0.000256827578509454,0.00610697100677784,3.04615082955538e-11
"65",-0.0837096493139895,0.000153361287523055,0.00578182612473314,8.9560869329423e-10
"66",-0.115669517618011,5.15086792588891e-08,0.0071153729906196,1.26761858309742e-17
"67",-0.184407742217387,4.52972074956663e-20,0.00919531230806812,3.98215538351758e-32
"68",-0.0922453801620589,1.02028509484786e-06,0.00612477409684066,3.97633262859886e-15
"69",-0.129541176681468,2.70101204807524e-11,0.0071903598631354,3.10743744194627e-20
"70",-0.160279157315876,2.92607387969572e-14,0.00809946826034704,2.99882461028892e-22
"71",-0.137903815652309,4.47115101137044e-12,0.00768765680358261,1.57784403172879e-20
"72",-0.111051132439523,6.6095707433804e-09,0.0073875878861642,1.34077586391461e-21
"73",-0.15126758011307,1.91041046169919e-16,0.00778499006546185,3.06345579228454e-27
"74",-0.0496896051370379,0.0469846145766577,0.00639276756358281,4.10912573557781e-12
"75",-0.0650268171393245,0.00550116595240663,0.0062966186367801,3.22685508885438e-13
"76",-0.0994249685170233,2.75492551136826e-08,0.00681693723385303,6.00649143823121e-23
"77",-0.10291451579736,3.43467420567946e-08,0.00620403201784748,2.13165118019797e-15
"78",-0.119056878778762,2.46689183305005e-08,0.00656346264880758,2.19391873761237e-15
"79",-0.126266543444525,3.81251018874924e-12,0.00760309582735407,6.38125345897724e-28
"80",-0.126910981437507,5.38370512920086e-18,0.00819760388947179,1.32875584162522e-41
"81",-0.123235856891769,1.33371852680925e-09,0.00753016643974763,3.87792027613782e-21
"82",-0.14501267642994,1.62991268537434e-11,0.00790536440002074,1.7333739040069e-22
"83",-0.166903081918945,1.85038285507188e-16,0.00825479088689727,3.98575257895327e-34
"84",-0.125087016064235,2.92829453724174e-10,0.00673419017607372,5.98808432442578e-17
"85",-0.133365814196941,1.20830786774261e-10,0.00715636778762609,1.66278171985439e-20
"86",-0.141350612931014,1.40136662839059e-11,0.00725343157572006,1.55067112605621e-20
"87",-0.115806732213849,2.11042701489551e-10,0.00686915754815277,3.07123381974979e-21
"88",-0.130311117834551,3.16923956890082e-08,0.00666857807680521,5.60001721845216e-15
"89",-0.189402031656551,9.3241869881031e-21,0.00936664372210552,1.67698949365497e-30
"90",-0.157742550788145,1.25151612009605e-14,0.00835174331889815,1.93383678353947e-22
"91",-0.135045382214338,2.51717636083269e-12,0.00834500885090555,1.69276821840159e-28
"92",-0.0595161567829056,0.00311133283932585,0.00636958869642751,1.88109137403274e-15
"93",-0.0212902818097703,0.422531585008548,0.00697091929643718,3.4979222805607e-11
"94",-0.151911435237948,1.11285663536163e-17,0.00878674711962507,4.47948407723433e-37
"95",-0.125991338184685,6.66328254707716e-07,0.00836911684273705,4.68729395689387e-20
"96",-0.128457476698927,1.98037468681436e-09,0.00763847992001263,3.41765108565834e-21
"97",-0.132382385653012,4.8953989136001e-10,0.00843087643918088,3.18305173579141e-27
"98",-0.163925467572152,2.58157213266023e-14,0.00860374656060232,1.83566672593728e-26
"99",-0.142781301168211,3.8427444781534e-11,0.00778735068779339,2.29883614554199e-17
"100",-0.159824758240143,1.66656672232212e-14,0.00896858982217113,1.76423682017149e-26
"hippocampus_L",-0.153016916251431,8.2327242369302e-23,0.00811959988915968,1.23426639611491e-35
"hippocampus_R",-0.118696780785076,1.83682832265471e-15,0.00675212565459595,6.96389622164528e-25
