"node","_Intercept__estimate","_Intercept__p_value","event_estimate","event_p_value","listenL1_greater_estimate","listenL1_greater_p_value","event_listenL1_greater_estimate","event_listenL1_greater_p_value"
"1",-0.0126926776067448,0.25856358308063,0.00342033807917988,2.79344592917429e-09,-0.00801172462155689,0.445764093465447,0.00233916042841709,4.63490203526373e-05
"2",0.0175512512326339,0.316947012331821,0.00101306194447307,0.282095258478621,0.00498717141602119,0.772650302832243,0.00110752703604321,0.23963762981448
"3",-0.00976391346128521,0.428818422661038,0.00245528892274674,0.000266844363131701,-0.00825214214982397,0.503235132247122,0.00198146730617997,0.00324454066375154
"4",0.0295893067742323,0.0669517549523073,0.000722007304391085,0.412411580990801,0.00851141676999323,0.598082809213665,0.000858056264276922,0.330018732406081
"5",0.0027075173927928,0.860850365598152,0.00238658771641808,0.00353119212662113,-0.0102839224171924,0.492452818666408,0.00158103161817377,0.053157773401901
"6",-0.0143705881954637,0.309719626824808,0.00301785589648853,7.00977140141528e-05,-0.0265773933202546,0.0557634682004482,0.00272696677407677,0.000325764238147987
"7",-0.0428618073074965,0.00524701239793929,0.00433286685684143,1.5616668462837e-07,-0.00774558148690613,0.607869357543675,0.00177110120414043,0.0315860574576664
"8",-0.000416013233003526,0.976550696253092,0.00141195511809971,0.0675515909639521,-0.0225798785010498,0.110726825741941,0.00259944628811255,0.000772785887015051
"9",-0.0195325399482523,0.176729159101854,0.00321887762970692,4.62211179995936e-05,-0.0134512347186979,0.35216180891924,0.00224751716571414,0.00440955062414508
"10",-0.0552829864946327,0.00681248298863701,0.00517743057264331,3.50596938882128e-10,-0.021310923329584,0.157069120934595,0.00270227542108798,0.00101758725147703
"11",-0.00694289746864176,0.694585589287039,0.00286128394612873,4.4623073112738e-05,-0.0279457457578367,0.0294038804461596,0.00315690674304206,6.7302660766667e-06
"12",-0.0301346377563877,0.126700631006852,0.00327418955673054,0.000109171763693861,-0.0115863642025672,0.454343088779857,0.00245012670293701,0.00376040385701328
"13",-0.0128685533441859,0.401028455534434,0.00235507050804828,0.0035165996519437,-0.0224361389678084,0.12903358551907,0.00333918995719241,3.56364376240894e-05
"14",0.00522394317200197,0.70469612371719,0.0019636388456294,0.00693269745021398,-0.0105137248363429,0.429950576174875,0.00268257311943349,0.000227836585496388
"15",-0.00800493927690784,0.586078783638219,0.00335684525040179,2.94615460983404e-05,-0.0317716511265043,0.0307593928494323,0.00367088291366847,4.95552374309978e-06
"16",0.00159149577405536,0.917997309147395,0.00229583252300174,0.00508328667795296,-0.018508336825182,0.21754307990039,0.00268960224688471,0.00103384423341969
"17",-0.00694378061771064,0.629946325856053,0.00229184076071566,0.00325026723999789,-0.0135167649246942,0.343253673200719,0.00281751240361516,0.000298926506928121
"18",-0.0161899363468027,0.242311343298626,0.00323254288352479,1.94463697453817e-05,-0.0276286424355969,0.0460710490136447,0.00306611084768342,5.0764688601904e-05
"19",-0.00936044493651196,0.586663413926472,0.00294349308035911,0.00121142334584028,-0.00621890419675312,0.708818106188804,0.00168810700679436,0.0632471598316974
"20",-0.0147205945054187,0.359092301373117,0.00412218749010609,2.64970028236698e-06,-0.0234777345728715,0.14361665906752,0.00244164679668446,0.00533381870144837
"21",-0.030267399091513,0.0520028636653307,0.00415591094177539,6.80773959061409e-07,-0.0157039607474715,0.304590372141225,0.00295322434637946,0.000408798047762219
"22",-0.050709800055244,0.000868219528034456,0.00472443807102759,1.00407842685284e-08,-0.0298070321771299,0.0478444054891878,0.00267401387275921,0.00114823617214252
"23",-0.0379477374881288,0.00285777941736225,0.0044570517996554,3.73223591136905e-11,-0.0292877542432925,0.017243954267018,0.00326074021121236,1.23342673460776e-06
"24",-0.033459452381348,0.0683055955192048,0.00343573438679856,4.47505276608262e-05,-0.0333638327661809,0.0303726698350768,0.00332666974469885,7.73773789300531e-05
"25",-0.0435156507157616,0.000984862750781447,0.00444104126104313,1.23324298693349e-12,-0.0178585242167515,0.117233887689644,0.00264276786374481,2.21825259001847e-05
