"node","_Intercept__estimate","_Intercept__p_value","event_estimate","event_p_value"
"1",0.0477019812689137,0.000400480632264723,-0.00466876649104579,1.04322895176919e-15
"2",-0.00216865633066667,0.928138299252716,-0.00294892447109987,0.00242169245714344
"3",0.04062470586528,0.00741348148189628,-0.00411591749106693,5.96696451629532e-10
"4",-0.00340503370075026,0.883182567222724,-0.00248439998560191,0.00776556683079777
"5",0.0199972742402644,0.322377692214716,-0.00363367749928405,1.70920883232958e-05
"6",0.0397407595559714,0.02295214967603,-0.00414494931392056,4.99403976138229e-08
"7",0.0348533010481373,0.0659731423250391,-0.00350401391424466,1.03766114513691e-05
"8",0.049100613834447,0.00716646735599253,-0.00435307964489907,5.06214089871488e-08
"9",0.0146880744093993,0.426080474474581,-0.00300329971004092,0.000194547614435136
"10",0.184243609737137,1.92205186034482e-13,-0.00831088546876023,4.11251810961793e-25
"11",0.0992808420962444,1.30829054841769e-05,-0.00604764949322896,4.89610539814474e-18
"12",0.12327394819087,1.48458964505378e-06,-0.00706405165669087,1.15764593781931e-18
"13",0.0922763285516885,3.14086986316113e-06,-0.0054097744556711,2.10049049072297e-12
"14",0.0514400187380906,0.00503536738878533,-0.00484535322093816,7.92358028424444e-12
"15",0.100338600257802,6.21464159991355e-08,-0.00676096787347166,4.70576969755478e-17
"16",0.0489004130018519,0.013683116909923,-0.00469714294066338,4.95760432542322e-08
"17",0.0509427998022839,0.00829736220466077,-0.00370262829499554,1.84540568218509e-06
"18",0.034983708520421,0.0516571573633551,-0.00332430836369142,2.30620898539993e-05
"19",0.0537891286968087,0.0163949089853053,-0.00443221536975387,9.55995720475439e-07
"20",0.0035409364308198,0.867830683025708,-0.00242527004984471,0.00666046656179248
"21",0.0657078315503325,0.000565530831045275,-0.00495478165861878,1.44330523721195e-09
"22",0.0940724333378066,4.62598119159876e-07,-0.00580399723892967,4.20709551941955e-13
"23",0.0820336102463679,1.312782833083e-07,-0.00607035979237005,3.49009541044691e-20
"24",0.118162073221481,5.14710013214684e-08,-0.00717942528438597,2.72245446317307e-19
"25",0.100580755909091,1.17930946273123e-10,-0.00668827758515027,6.27104679874848e-28
"26",0.060243073858656,0.000442950494665858,-0.00550676605247029,1.2920002688696e-13
"27",0.0550583052977274,0.0039774809734243,-0.00528567105808427,4.31541665272059e-12
"28",0.0475852381622658,0.0261348826927156,-0.00461195472902446,6.07035018662894e-07
"29",0.0399582664049383,0.014368477360591,-0.00429243283736766,1.39001999692579e-09
